trial_name,display_name,model_name,run_dir,best_threshold,val_f1_macro,val_f1_weighted,val_accuracy,test_f1_macro,test_f1_weighted,test_accuracy,train_runtime,train_samples_per_second,config_json
mbert_t011_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t011_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.36,0.798873,0.856876,0.855335,0.668968,0.782108,0.789179,271.4393,47.727,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
mbert_t007_len64_ep3_lr1e-05_bs8_ga1_cwnone_ls0.03,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t007_len64_ep3_lr1e-05_bs8_ga1_cwnone_ls0.03,0.34,0.796952,0.858907,0.860759,0.697978,0.802162,0.809701,182.7428,42.535,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.03}"
mbert_t001_len80_ep3_lr3e-05_bs8_ga1_cwnone_ls0.0,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t001_len80_ep3_lr3e-05_bs8_ga1_cwnone_ls0.0,0.3,0.796557,0.859634,0.862568,0.675613,0.79472,0.811567,164.6873,47.199,"{""max_len"": 80, ""lr"": 3e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
mbert_t002_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t002_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.36,0.790663,0.856598,0.860759,0.712795,0.816122,0.828358,273.1978,47.42,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
mbert_t012_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t012_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,0.32,0.787317,0.850118,0.84991,0.709631,0.810717,0.81903,251.2843,51.555,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.0}"
mbert_t009_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t009_len64_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.03,0.68,0.787144,0.85272,0.855335,0.69598,0.805678,0.81903,295.2693,43.875,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.03}"
mbert_t008_len80_ep3_lr2e-05_bs8_ga1_cwnone_ls0.0,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t008_len80_ep3_lr2e-05_bs8_ga1_cwnone_ls0.0,0.3,0.782471,0.851842,0.857143,0.697908,0.80723,0.820896,194.8571,39.891,"{""max_len"": 80, ""lr"": 2e-05, ""epochs"": 3, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
mbert_t010_len80_ep5_lr1e-05_bs8_ga1_cwnone_ls0.0,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t010_len80_ep5_lr1e-05_bs8_ga1_cwnone_ls0.0,0.5,0.781694,0.84723,0.848101,0.68797,0.795936,0.804104,233.5755,55.464,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.0}"
mbert_t003_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t003_len80_ep5_lr1e-05_bs8_ga1_cwsqrt_inv_ls0.0,0.42,0.781161,0.849658,0.853526,0.699847,0.808786,0.822761,212.0743,61.087,"{""max_len"": 80, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.1, ""early_stopping_patience"": 2, ""class_weight_mode"": ""sqrt_inv"", ""label_smoothing"": 0.0}"
mbert_t004_len64_ep5_lr1e-05_bs8_ga1_cwnone_ls0.03,mBERT,bert-base-multilingual-cased,artifacts/model_batches/b123v45_tuned_20260316_082735/models/mBERT/trials/mbert_t004_len64_ep5_lr1e-05_bs8_ga1_cwnone_ls0.03,0.34,0.779145,0.848055,0.851718,0.685839,0.801856,0.81903,235.0315,55.12,"{""max_len"": 64, ""lr"": 1e-05, ""epochs"": 5, ""train_bs"": 8, ""eval_bs"": 16, ""grad_accum"": 1, ""warmup_ratio"": 0.06, ""early_stopping_patience"": 2, ""class_weight_mode"": ""none"", ""label_smoothing"": 0.03}"
